,word,furigana,translation,jlpt_level,romaji,num_characters,stroke_count
4787,城,しろ,castle,N3,shiro,1,9
4788,進学,しんがく,going on to university,N3,shingaku,2,19
4789,神経,しんけい,"nerve, sensitivity",N3,shinkei,2,20
4790,真剣,しんけん,"seriousness, earnestness",N3,shinken,2,20
4791,信仰,しんこう,"(religious) faith, belief",N3,shinkou,2,15
4792,信号,しんごう,"traffic lights, signal, semaphore",N3,shingou,2,14
4793,人工,じんこう,"artificial, man made, human work,",N3,jinkou,2,5
4794,深刻,しんこく,serious,N3,shinkoku,2,19
4795,診察,しんさつ,medical examination (of a patient),N3,shinsatsu,2,26
4796,人種,じんしゅ,race (of people),N3,jinshu,2,16
4797,信じる,しんじる,to believe,N3,shinjiru,3,13
4798,人生,じんせい,"(human) life (e.g., conception to death)",N3,jinsei,2,7
4799,親戚,しんせき,relative(s),N3,shinseki,2,27
4800,新鮮,しんせん,fresh,N3,shinsen,2,30
4801,心臓,しんぞう,heart,N3,shinzou,2,23
4802,身体,しんたい,the body,N3,shintai,2,14
4803,身長,しんちょう,"height (of body), stature",N3,shinchou,2,15
4804,慎重,しんちょう,"careful, prudent, cautious",N3,shinchou,2,22
4805,審判,しんぱん,"umpire, referee, judgment",N3,shinpan,2,22
4806,人物,じんぶつ,"character, personality, talented man",N3,jinbutsu,2,10
4807,進歩,しんぽ,"improvement, progress, development",N3,shinpo,2,19
4808,親友,しんゆう,"close friend, buddy",N3,shinyuu,2,20
4809,信用,しんよう,"confidence, dependence",N3,shinyou,2,14
4810,信頼,しんらい,"reliance, trust, confidence",N3,shinrai,2,25
4811,心理,しんり,mentality,N3,shinri,2,15
4812,人類,じんるい,"mankind, humanity",N3,jinrui,2,20
4813,巣,す,"nest, breeding place",N3,su,1,11
4814,酢,す,vinegar,N3,su,1,12
4815,図,ず,"figure, drawing, illustration",N3,zu,1,7
4816,水準,すいじゅん,"level, standard",N3,suijun,2,17
4817,推薦,すいせん,recommendation,N3,suisen,2,27
4818,スイッチ,スイッチ,switch,N3,suicchi,4,8
4819,睡眠,すいみん,sleep,N3,suimin,2,23
4820,数,すう,"number, figure",N3,suu,1,13
4821,数字,すうじ,"numeral, figure",N3,suuji,2,19
4822,スープ,スープ,(Western) soup,N3,suーpu,3,4
4823,末,すえ,"the end of, powder",N3,sue,1,5
4824,姿,すがた,"figure, shape, appearance",N3,sugata,1,9
4825,スキー,スキー,ski,N3,sukiー,3,5
4826,救う,すくう,"to rescue from, to help out of",N3,sukuu,2,13
4827,すくなくとも,すくなくとも,at least,N3,sukunakutomo,6,13
4828,優れる,すぐれる,"to surpass, to outstrip, to excel",N3,sugureru,3,20
4829,スケート,スケート,"skate(s), skating",N3,sukeーto,4,7
4830,スケジュール,スケジュール,schedule,N3,sukejuーru,6,14
4831,少しも,すこしも,"anything of, not one bit",N3,sukoshimo,3,8
