whole_word,whole_word_furigana,whole_word_romaji,whole_word_translation,jlpt_level,character,kanji_use_count,kanji_stroke_count,kanji_translation,kun_readings,kun_romaji,on_readings,on_romaji,radical_basis,radical_meaning,kana_romaji,kana_stroke_count,char_type
鉱業,こうぎょう,kougyou,mining industry,N1,業,26.0,13.0,"business, vocation, arts, performance",わざ,waza,"ギョウ, ゴウ","gyou, gou",木,tree,,,kanji
興業,こうぎょう,kougyou,starting a business; industry,N1,興,8.0,16.0,"entertain, revive, retrieve, interest, pleasure","おこ.る, おこ.す","oko.ru, oko.su","コウ, キョウ","kou, kyou",臼,mortar,,,kanji
興業,こうぎょう,kougyou,starting a business; industry,N1,業,26.0,13.0,"business, vocation, arts, performance",わざ,waza,"ギョウ, ゴウ","gyou, gou",木,tree,,,kanji
高原,こうげん,kougen,"tableland, plateau",N1,高,20.0,10.0,"tall, high, expensive","たか.い, たか, -だか, たか.まる, たか.める","taka.i, taka, -daka, taka.maru, taka.meru",コウ,kou,高,tall,,,kanji
高原,こうげん,kougen,"tableland, plateau",N1,原,20.0,10.0,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",はら,hara,ゲン,gen,厂,cliff,,,kanji
交互,こうご,kougo,"mutual, reciprocal, alternate",N1,交,22.0,6.0,"mingle, mixing, association, coming & going","まじ.わる, まじ.える, ま.じる, まじ.る, ま.ざる, ま.ぜる, -か.う, か.わす, かわ.す, こもごも","maji.waru, maji.eru, ma.jiru, maji.ru, ma.zaru, ma.zeru, -ka.u, ka.wasu, kawa.su, komogomo",コウ,kou,亠,lid,,,kanji
交互,こうご,kougo,"mutual, reciprocal, alternate",N1,互,4.0,4.0,"mutually, reciprocally, together","たが.い, かたみ.に","taga.i, katami.ni",ゴ,go,二,two,,,kanji
煌々と,こうこうと,koukouto,brightly,N1,煌,1.0,13.0,"glitter, gleam, twinkle","きらめ.く, きら.めく, かがや.く","kirame.ku, kira.meku, kagaya.ku",コウ,kou,火,fire,,,kanji
煌々と,こうこうと,koukouto,brightly,N1,々,,,,,,,,,,,,kana
煌々と,こうこうと,koukouto,brightly,N1,と,,,,,,,,,,to,2.0,kana
考古学,こうこがく,koukogaku,archeology,N1,考,7.0,6.0,"consider, think over","かんが.える, かんが.え","kanga.eru, kanga.e",コウ,kou,老,old,,,kanji
考古学,こうこがく,koukogaku,archeology,N1,古,8.0,5.0,old,"ふる.い, ふる-, -ふる.す","furu.i, furu-, -furu.su",コ,ko,口,mouth,,,kanji
考古学,こうこがく,koukogaku,archeology,N1,学,54.0,8.0,"study, learning, science",まな.ぶ,mana.bu,ガク,gaku,子,child,,,kanji
工作,こうさく,kousaku,"handicraft, maneuvering",N1,工,14.0,3.0,"craft, construction, katakana e radical (no. 48)",,,"コウ, ク, グ","kou, ku, gu",工,work,,,kanji
工作,こうさく,kousaku,"handicraft, maneuvering",N1,作,29.0,7.0,"make, production, prepare, build","つく.る, つく.り, -づく.り","tsuku.ru, tsuku.ri, -zuku.ri","サク, サ","saku, sa",人,man,,,kanji
耕作,こうさく,kousaku,"cultivation, farming",N1,耕,4.0,10.0,"till, plow, cultivate",たがや.す,tagaya.su,コウ,kou,耒,plow,,,kanji
耕作,こうさく,kousaku,"cultivation, farming",N1,作,29.0,7.0,"make, production, prepare, build","つく.る, つく.り, -づく.り","tsuku.ru, tsuku.ri, -zuku.ri","サク, サ","saku, sa",人,man,,,kanji
鉱山,こうざん,kouzan,mine,N1,鉱,4.0,13.0,"mineral, ore",あらがね,aragane,コウ,kou,金,metal,,,kanji
鉱山,こうざん,kouzan,mine,N1,山,10.0,3.0,mountain,やま,yama,"サン, セン","san, sen",山,mountain,,,kanji
講習,こうしゅう,koushuu,"short course, training",N1,講,8.0,17.0,"lecture, club, association",,,コウ,kou,言,speech,,,kanji
講習,こうしゅう,koushuu,"short course, training",N1,習,14.0,11.0,learn,"なら.う, なら.い","nara.u, nara.i","シュウ, ジュ","shuu, ju",羽,feather,,,kanji
口述,こうじゅつ,koujutsu,verbal statement,N1,口,22.0,3.0,mouth,くち,kuchi,"コウ, ク","kou, ku",口,mouth,,,kanji
口述,こうじゅつ,koujutsu,verbal statement,N1,述,4.0,8.0,"mention, state, speak, relate",の.べる,no.beru,ジュツ,jutsu,辵,walk,,,kanji
控除,こうじょ,koujo,"subsidy, deduction",N1,控,3.0,11.0,"withdraw, draw in, hold back, refrain from, be moderate","ひか.える, ひか.え","hika.eru, hika.e",コウ,kou,手,hand,,,kanji
控除,こうじょ,koujo,"subsidy, deduction",N1,除,9.0,10.0,"exclude, division (x/3), remove, abolish, cancel, except","のぞ.く, -よ.け","nozo.ku, -yo.ke","ジョ, ジ","jo, ji",dam,mound,,,kanji
交渉,こうしょう,koushou,negotiation,N1,交,22.0,6.0,"mingle, mixing, association, coming & going","まじ.わる, まじ.える, ま.じる, まじ.る, ま.ざる, ま.ぜる, -か.う, か.わす, かわ.す, こもごも","maji.waru, maji.eru, ma.jiru, maji.ru, ma.zaru, ma.zeru, -ka.u, ka.wasu, kawa.su, komogomo",コウ,kou,亠,lid,,,kanji
交渉,こうしょう,koushou,negotiation,N1,渉,2.0,11.0,"ford, go cross, transit, ferry, import, involve",わた.る,wata.ru,ショウ,shou,水,water,,,kanji
高尚,こうしょう,koushou,"high, noble, refined",N1,高,20.0,10.0,"tall, high, expensive","たか.い, たか, -だか, たか.まる, たか.める","taka.i, taka, -daka, taka.maru, taka.meru",コウ,kou,高,tall,,,kanji
高尚,こうしょう,koushou,"high, noble, refined",N1,尚,1.0,8.0,"esteem, furthermore, still, yet",なお,nao,ショウ,shou,小,small,,,kanji
向上,こうじょう,koujou,"rise, improvement, progress",N1,向,14.0,6.0,"yonder, facing, beyond, confront, defy, tend toward, approach","む.く, む.い, -む.き, む.ける, -む.け, む.かう, む.かい, む.こう, む.こう-, むこ, むか.い","mu.ku, mu.i, -mu.ki, mu.keru, -mu.ke, mu.kau, mu.kai, mu.kou, mu.kou-, muko, muka.i",コウ,kou,口,mouth,,,kanji
向上,こうじょう,koujou,"rise, improvement, progress",N1,上,54.0,3.0,"above, up","うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, たてまつ.る","ue, -ue, uwa-, kami, a.geru, -a.geru, a.garu, -a.garu, a.gari, -a.gari, nobo.ru, nobo.ri, nobo.seru, nobo.su, tatematsu.ru","ジョウ, ショウ, シャン","jou, shou, shan",一,one,,,kanji
行進,こうしん,koushin,"march, parade",N1,行,46.0,6.0,"going, journey, carry out, conduct, act, line, row, bank","い.く, ゆ.く, -ゆ.き, -ゆき, -い.き, -いき, おこな.う, おこ.なう","i.ku, yu.ku, -yu.ki, -yuki, -i.ki, -iki, okona.u, oko.nau","コウ, ギョウ, アン","kou, gyou, an",行,go,,,kanji
行進,こうしん,koushin,"march, parade",N1,進,17.0,11.0,"advance, proceed, progress, promote","すす.む, すす.める","susu.mu, susu.meru",シン,shin,辵,walk,,,kanji
香辛料,こうしんりょう,koushinryou,spices,N1,香,3.0,9.0,"incense, smell, perfume","か, かお.り, かお.る","ka, kao.ri, kao.ru","コウ, キョウ","kou, kyou",香,fragrance,,,kanji
香辛料,こうしんりょう,koushinryou,spices,N1,辛,7.0,7.0,"spicy, bitter, hot, acrid","から.い, つら.い, -づら.い, かのと","kara.i, tsura.i, -zura.i, kanoto",シン,shin,辛,bitter,,,kanji
香辛料,こうしんりょう,koushinryou,spices,N1,料,16.0,10.0,"fee, materials",,,リョウ,ryou,斗,dipper,,,kanji
