kanji,count,strokes,kun_readings,on_readings
潮,1,15,"['しお', 'うしお']",['チョウ']
歯,6,12,"['よわい', 'は', 'よわ.い', 'よわい.する']",['シ']
自,28,6,"['みずか.ら', 'おの.ずから', 'おの.ずと']","['ジ', 'シ']"
我,6,7,"['われ', 'わ', 'わ.が-', 'わが-']",['ガ']
覚,13,12,"['おぼ.える', 'さ.ます', 'さ.める', 'さと.る']",['カク']
色,14,6,['いろ'],"['ショク', 'シキ']"
彩,1,11,['いろど.る'],['サイ']
式,12,6,,['シキ']
場,31,12,['ば'],"['ジョウ', 'チョウ']"
軽,7,12,"['かる.い', 'かろ.やか', 'かろ.んじる']","['ケイ', 'キョウ', 'キン']"
蔑,1,14,"['ないがしろ', 'なみ.する', 'くらい', 'さげす.む']",['ベツ']
経,13,11,"['へ.る', 'た.つ', 'たていと', 'はか.る', 'のり']","['ケイ', 'キョウ', 'キン']"
歴,4,14,,"['レキ', 'レッキ']"
路,8,13,"['-じ', 'みち']","['ロ', 'ル']"
劇,6,15,,['ゲキ']
激,6,16,['はげ.しい'],['ゲキ']
励,4,7,"['はげ.む', 'はげ.ます']",['レイ']
獣,3,16,"['けもの', 'けだもの']",['ジュウ']
結,17,12,"['むす.ぶ', 'ゆ.う', 'ゆ.わえる']","['ケツ', 'ケチ']"
核,2,10,,['カク']
月,25,4,['つき'],"['ゲツ', 'ガツ']"
謝,4,17,['あやま.る'],['シャ']
勝,11,12,"['か.つ', '-が.ち', 'まさ.る', 'すぐ.れる', 'かつ']",['ショウ']
晶,1,12,,['ショウ']
束,6,7,"['たば', 'たば.ねる', 'つか', 'つか.ねる']",['ソク']
断,15,11,"['た.つ', 'ことわ.る', 'さだ.める']",['ダン']
賦,1,15,,"['フ', 'ブ']"
欠,7,4,"['か.ける', 'か.く']","['ケツ', 'ケン']"
乏,4,4,"['とぼ.しい', 'とも.しい']",['ボウ']
蹴,2,19,['け.る'],"['シュク', 'シュウ']"
飛,8,9,"['と.ぶ', 'と.ばす', '-と.ばす']",['ヒ']
煙,6,13,"['けむ.る', 'けむり', 'けむ.い']",['エン']
家,25,10,"['いえ', 'や', 'うち']","['カ', 'ケ']"
来,23,7,"['く.る', 'きた.る', 'きた.す', 'き.たす', 'き.たる', 'き', 'こ']","['ライ', 'タイ']"
下,48,3,"['した', 'しも', 'もと', 'さ.げる', 'さ.がる', 'くだ.る', 'くだ.り', 'くだ.す', '-くだ.す', 'くだ.さる', 'お.ろす', 'お.りる']","['カ', 'ゲ']"
痢,1,12,,['リ']
威,3,9,"['おど.す', 'おど.し', 'おど.かす']",['イ']
形,14,7,"['かた', '-がた', 'かたち', 'なり']","['ケイ', 'ギョウ']"
型,4,9,"['かた', '-がた']",['ケイ']
健,5,11,['すこ.やか'],['ケン']
検,5,12,['しら.べる'],['ケン']
子,29,3,"['こ', '-こ', 'ね']","['シ', 'ス', 'ツ']"
元,13,4,['もと'],"['ゲン', 'ガン']"
首,10,9,['くび'],['シュ']
書,27,10,"['か.く', '-が.き', '-がき']",['ショ']
懸,3,20,"['か.ける', 'か.かる']","['ケン', 'ケ']"
賞,7,15,['ほ.める'],['ショウ']
全,19,6,"['まった.く', 'すべ.て']",['ゼン']
素,16,10,['もと'],"['ソ', 'ス']"
到,3,8,['いた.る'],['トウ']
動,30,11,"['うご.く', 'うご.かす']",['ドウ']
的,9,8,['まと'],['テキ']
尊,5,12,"['たっと.い', 'とうと.い', 'たっと.ぶ', 'とうと.ぶ']",['ソン']
貴,3,12,"['たっと.い', 'とうと.い', 'たっと.ぶ', 'とうと.ぶ']",['キ']
等,12,12,"['ひと.しい', 'など', '-ら']",['トウ']
堂,4,11,,['ドウ']
投,6,7,"['な.げる', '-な.げ']",['トウ']
導,5,15,['みちび.く'],['ドウ']
当,34,6,"['あ.たる', 'あ.たり', 'あ.てる', 'あ.て', 'まさ.に', 'まさ.にべし']",['トウ']
封,5,9,,"['フウ', 'ホウ']"
逃,8,9,"['に.げる', 'に.がす', 'のが.す', 'のが.れる']",['トウ']
亡,5,3,"['な.い', 'な.き-', 'ほろ.びる', 'ほろ.ぶ', 'ほろ.ぼす']","['ボウ', 'モウ']"
冬,2,5,['ふゆ'],['トウ']
眠,6,10,"['ねむ.る', 'ねむ.い']",['ミン']
盟,2,13,,['メイ']
登,5,12,"['のぼ.る', 'あ.がる']","['トウ', 'ト', 'ドウ', 'ショウ', 'チョウ']"
録,5,16,"['しる.す', 'と.る']",['ロク']
討,4,10,['う.つ'],['トウ']
遠,10,13,['とお.い'],"['エン', 'オン']"
回,22,6,"['まわ.る', '-まわ.る', '-まわ.り', 'まわ.す', '-まわ.す', 'まわ.し-', '-まわ.し', 'もとお.る', 'か.える']","['カイ', 'エ']"
時,20,10,"['とき', '-どき']",['ジ']
折,9,7,"['お.る', 'おり', 'お.り', '-お.り', 'お.れる']","['セツ', 'シャク']"
研,4,9,['と.ぐ'],['ケン']
特,17,10,,['トク']
技,7,7,['わざ'],['ギ']
裁,6,12,"['た.つ', 'さば.く']",['サイ']
集,18,12,"['あつ.まる', 'あつ.める', 'つど.う']",['シュウ']
占,4,5,"['し.める', 'うらな.う']",['セン']
創,5,12,"['つく.る', 'はじ.める', 'きず', 'けず.しける']","['ソウ', 'ショウ']"
派,5,9,,['ハ']
遂,2,12,"['と.げる', 'つい.に']",['スイ']
年,36,6,['とし'],['ネン']
頃,6,11,"['ころ', 'ごろ', 'しばら.く']","['ケイ', 'キョウ']"
締,7,15,"['し.まる', 'し.まり', 'し.める', '-し.め', '-じ.め']",['テイ']
途,8,10,['みち'],['ト']
土,12,3,['つち'],"['ド', 'ト']"
台,10,5,"['うてな', 'われ', 'つかさ']","['ダイ', 'タイ']"
絶,8,12,"['た.える', 'た.やす', 'た.つ']",['ゼツ']
許,5,11,"['ゆる.す', 'もと']",['キョ']
突,13,8,['つ.く'],"['トツ', 'カ']"
如,1,6,['ごと.し'],"['ジョ', 'ニョ']"
破,11,10,"['やぶ.る', 'やぶ.れる', 'わ.れる']",['ハ']
届,3,8,"['とど.ける', '-とど.け', 'とど.く']",['カイ']
滞,5,13,['とどこお.る'],"['タイ', 'テイ']"
整,8,16,"['ととの.える', 'ととの.う']",['セイ']
止,17,4,"['と.まる', '-ど.まり', 'と.める', '-と.める', '-ど.め', 'とど.める', 'とど.め', 'とど.まる', 'や.める', 'や.む', '-や.む', 'よ.す', '-さ.す', '-さ.し']",['シ']
唱,2,11,['とな.える'],['ショウ']
殿,5,13,"['との', '-どの']","['デン', 'テン']"
俵,1,10,['たわら'],['ヒョウ']
扉,1,12,['とびら'],['ヒ']
溝,2,13,['みぞ'],['コウ']
徒,2,10,"['いたずら', 'あだ']",['ト']
歩,10,8,"['ある.く', 'あゆ.む']","['ホ', 'ブ', 'フ']"
木,11,4,"['き', 'こ-']","['ボク', 'モク']"
富,4,12,"['と.む', 'とみ']","['フ', 'フウ']"
共,12,6,"['とも', 'とも.に', '-ども']",['キョウ']
稼,2,15,['かせ.ぐ'],['カ']
伴,1,7,['ともな.う'],"['ハン', 'バン']"
働,4,13,['はたら.く'],['ドウ']
取,34,8,"['と.る', 'と.り', 'と.り-', 'とり', '-ど.り']",['シュ']
扱,4,6,"['あつか.い', 'あつか.う', 'あつか.る', 'こ.く']","['ソウ', 'キュウ']"
鳥,4,11,['とり'],['チョウ']
替,10,12,"['か.える', 'か.え-', 'か.わる']",['タイ']
組,11,11,"['く.む', 'くみ', '-ぐみ']",['ソ']
次,7,6,"['つ.ぐ', 'つぎ']","['ジ', 'シ']"
引,35,4,"['ひ.く', 'ひ.ける']",['イン']
巻,4,9,"['ま.く', 'まき', 'ま.き']","['カン', 'ケン']"
戻,4,7,"['もど.す', 'もど.る']",['レイ']
寄,14,11,"['よ.る', '-よ.り', 'よ.せる']",['キ']
副,3,11,,['フク']
鈍,4,12,"['にぶ.い', 'にぶ.る', 'にぶ-', 'なま.る', 'なまく.ら']",['ドン']
感,25,13,,['カン']
度,28,9,"['たび', '-た.い']","['ド', 'ト', 'タク']"
忘,3,7,['わす.れる'],['ボウ']
問,12,11,"['と.う', 'と.い', 'とん']",['モン']
屋,12,9,['や'],['オク']
内,16,4,['うち'],"['ナイ', 'ダイ']"
閣,1,14,,['カク']
乃,1,2,"['の', 'すなわ.ち', 'なんじ']","['ナイ', 'ダイ', 'ノ', 'アイ']"
至,3,6,['いた.る'],['シ']
緒,4,14,"['お', 'いとぐち']","['ショ', 'チョ']"
蔵,7,15,"['くら', 'おさ.める', 'かく.れる']","['ゾウ', 'ソウ']"
部,19,11,['-べ'],['ブ']
乱,6,7,"['みだ.れる', 'みだ.る', 'みだ.す', 'みだ', 'おさ.める', 'わた.る']","['ラン', 'ロン']"
陸,5,11,['おか'],"['リク', 'ロク']"
苗,1,8,"['なえ', 'なわ-']","['ビョウ', 'ミョウ']"
流,17,10,"['なが.れる', 'なが.れ', 'なが.す', '-なが.す']","['リュウ', 'ル']"
長,26,8,"['なが.い', 'おさ']",['チョウ']
程,10,12,"['ほど', '-ほど']",['テイ']
渚,1,11,['なぎさ'],['ショ']
嘆,1,13,"['なげ.く', 'なげ.かわしい']",['タン']
仲,5,6,['なか'],['チュウ']
和,15,8,"['やわ.らぐ', 'やわ.らげる', 'なご.む', 'なご.やか', 'あ.える']","['ワ', 'オ', 'カ']"
名,39,6,"['な', '-な']","['メイ', 'ミョウ']"
情,18,11,['なさ.け'],"['ジョウ', 'セイ']"
無,40,12,['な.い'],"['ム', 'ブ']"
深,8,11,"['ふか.い', '-ぶか.い', 'ふか.まる', 'ふか.める', 'み-']",['シン']
詰,6,13,"['つ.める', 'つ.め', '-づ.め', 'つ.まる', 'つ.む']","['キツ', 'キチ']"
雪,3,11,['ゆき'],['セツ']
崩,4,11,"['くず.れる', '-くず.れ', 'くず.す']",['ホウ']
懐,2,16,"['ふところ', 'なつ.かしい', 'なつ.かしむ', 'なつ.く', 'なつ.ける', 'なず.ける', 'いだ.く', 'おも.う']","['カイ', 'エ']"
何,12,7,"['なに', 'なん', 'なに-', 'なん-']",['カ']
札,4,5,['ふだ'],['サツ']
